uid,category,id,name,name_status,complete,issues,type,type_label,seed_id,plant_id,asset_name,price,price_id,required_level,source,image,image_file,image_source_type
item:1001,item,1001,金币,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/72b3cd90c72de63cf8987de1c05f7090713e516d.png,images/item_1001_eca0e514f3.png,local_route
item:1002,item,1002,点券,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/730806d489665b8a2e5e6de1fbdfd577d5a03f0b.png,images/item_1002_fd2dce6949.png,local_route
item:1003,item,1003,累计充值,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/730806d489665b8a2e5e6de1fbdfd577d5a03f0b.png,images/item_1003_fd2dce6949.png,local_route
item:1004,item,1004,钻石,ok,true,,15,diamond,,,,0,0,0,ItemInfo,/miniapp-assets-cache/36bb473b7272a1f65ffedbb33832e42eac708a19.png,images/item_1004_ea95e743da.png,local_route
item:1005,item,1005,金豆豆,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/8822dfe69208062d84f09ee37729b7f5e18323f6.png,images/item_1005_e5c36770a0.png,local_route
item:1011,item,1011,普通化肥容器,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/5b34dd8770f57e18e55933b25c09980439109fc4.png,images/item_1011_e4b42481af.png,local_route
item:1012,item,1012,有机化肥容器,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/639125e792d4fe63176829e5cd352509c590c2c3.png,images/item_1012_eda4d43c59.png,local_route
item:1013,item,1013,友谊果实,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/ba6936a5ba7a3a2e6604f54c5c5109691cb31cb3.png,images/item_1013_9093c319a6.png,local_route
item:1014,item,1014,穗华,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/3df51270a5cabd673442a6be2dfe3ccbc7184ded.png,images/item_1014_6909229ee7.png,local_route
item:1015,item,1015,幸运币,ok,true,,2,currency,,,,0,0,0,ItemInfo,/miniapp-assets-cache/cdf8acc436b26388b05617dabadea366cac65627.png,images/item_1015_b366d6a5b6.png,local_route
